"Sat, 06 Feb 16 22:04:13 +0100";17.625;17.562;13.812;17.625;1(Licht1);1(Licht2);4(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:08:27 +0100";16.937;16.75;13.375;16.875;0(Licht1);0(Licht2);1(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:10:16 +0100";16.687;16.562;13.25;16.875;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:11:01 +0100";16.625;16.5;13.187;16.75;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:12:02 +0100";16.562;16.437;13.125;16.687;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:13:01 +0100";16.5;16.375;13.125;16.625;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:14:01 +0100";16.437;16.312;13.062;16.625;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:15:01 +0100";16.375;16.25;13;16.5;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:16:02 +0100";16.312;16.187;13;16.5;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:17:01 +0100";16.25;16.125;12.937;16.375;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:18:01 +0100";16.187;16.062;12.875;16.312;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:19:02 +0100";16.187;16;12.812;16.25;0(Licht1);0(Licht2);1(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:20:01 +0100";16.062;15.937;12.812;16.187;0(Licht1);0(Licht2);1(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:21:01 +0100";16;15.875;12.75;16.187;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:22:01 +0100";15.875;15.875;12.687;16.125;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:23:01 +0100";15.875;15.75;12.687;16.062;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:24:01 +0100";15.875;15.75;12.687;16;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:25:01 +0100";15.875;15.687;12.687;15.937;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:26:01 +0100";15.812;15.687;12.625;15.875;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:27:01 +0100";15.687;15.562;12.562;15.875;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:28:01 +0100";15.687;15.562;12.562;15.875;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:29:01 +0100";15.625;15.625;12.562;15.875;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:30:02 +0100";15.5;15.625;12.5;15.875;0(Licht1);0(Licht2);1(LTIIst);1(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:31:01 +0100";15.5;15.625;12.5;15.937;0(Licht1);0(Licht2);1(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:32:01 +0100";15.5;15.562;12.437;15.875;0(Licht1);0(Licht2);1(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:33:01 +0100";15.437;15.562;12.437;15.875;0(Licht1);0(Licht2);1(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:34:02 +0100";15.375;15.562;12.437;15.875;0(Licht1);0(Licht2);1(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:35:01 +0100";15.375;15.5;12.437;15.875;0(Licht1);0(Licht2);1(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
"Sat, 06 Feb 16 22:36:01 +0100";15.375;15.437;12.312;15.812;0(Licht1);0(Licht2);1(LTIIst);0(UmluftIst);0(BoxluftIst);1(LTINeu);0(BoxluftNeu)
